DATA SET,PLAYER FULL NAME,"OWN
TEAM","OPP
TEAM","VENUE
(R/H)",MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
Regular Season,Jason Maxiell,Orl,Ind,R,26.2,0,5,0,0,0,0,1,4,5,0,2,1,2,2,0
Regular Season,Maurice Harkless,Orl,Ind,R,23.3,6,13,2,2,0,1,1,0,1,0,4,1,0,0,14
Regular Season,Nikola Vucevic,Orl,Ind,R,30.4,4,11,0,0,0,0,5,5,10,3,4,2,5,1,8
Regular Season,Arron Afflalo,Orl,Ind,R,32.6,3,14,1,5,2,3,1,2,3,1,1,0,1,0,9
Regular Season,Jameer Nelson,Orl,Ind,R,30.3,4,13,3,7,1,1,1,4,5,7,1,2,2,0,12
Regular Season,Victor Oladipo,Orl,Ind,R,22.4,4,11,1,2,3,5,1,2,3,2,2,1,3,0,12
Regular Season,Andrew Nicholson,Orl,Ind,R,19.2,8,10,2,2,0,0,1,3,4,0,4,1,1,0,18
Regular Season,E'Twaun Moore,Orl,Ind,R,25.5,3,6,0,1,0,0,1,0,1,1,2,2,2,0,6
Regular Season,Kyle O'Quinn,Orl,Ind,R,14.2,3,7,0,0,0,0,0,4,4,0,2,0,1,3,6
Regular Season,Ronnie Price,Orl,Ind,R,8.4,1,2,0,0,0,0,0,1,1,3,2,0,0,0,2
Regular Season,Solomon Jones,Orl,Ind,R,5.2,0,1,0,0,0,0,1,1,2,0,2,0,0,0,0
Regular Season,Paul George,Ind,Orl,H,36.1,8,16,3,6,5,7,1,5,6,5,0,1,4,3,24
Regular Season,David West,Ind,Orl,H,30.4,4,11,0,0,5,5,0,5,5,3,2,2,5,5,13
Regular Season,Roy Hibbert,Ind,Orl,H,26.5,3,6,0,0,2,4,6,10,16,0,0,1,3,7,8
Regular Season,Lance Stephenson,Ind,Orl,H,35.4,8,12,2,3,1,2,2,5,7,5,2,0,1,1,19
Regular Season,George Hill,Ind,Orl,H,29,2,8,0,2,3,4,0,2,2,0,0,0,1,0,7
Regular Season,Orlando Johnson,Ind,Orl,H,15.1,3,4,1,2,2,2,0,1,1,0,1,0,1,0,9
Regular Season,Luis Scola,Ind,Orl,H,20.4,4,7,0,0,0,0,0,1,1,1,2,0,1,0,8
Regular Season,C.J. Watson,Ind,Orl,H,19.5,2,5,1,4,0,2,0,2,2,3,0,0,1,0,5
Regular Season,Solomon Hill,Ind,Orl,H,8.1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0
Regular Season,Ian Mahinmi,Ind,Orl,H,16.4,0,1,0,0,4,6,1,2,3,0,5,0,2,2,4
Regular Season,Rasual Butler,Ind,Orl,H,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regular Season,Luol Deng,Chi,Mia,R,29.3,2,8,0,5,0,0,1,4,5,4,4,2,3,0,4
Regular Season,Carlos Boozer,Chi,Mia,R,32.2,13,18,0,0,5,5,3,4,7,2,4,1,2,1,31
Regular Season,Joakim Noah,Chi,Mia,R,20.1,1,4,0,0,0,2,2,9,11,2,2,2,2,2,2
Regular Season,Jimmy Butler,Chi,Mia,R,29.6,6,12,2,4,6,7,0,3,3,3,4,5,2,1,20
Regular Season,Derrick Rose,Chi,Mia,R,34.2,4,15,1,7,3,4,0,1,1,4,2,0,5,0,12
Regular Season,Mike Dunleavy,Chi,Mia,R,22.6,3,9,2,4,2,2,0,3,3,1,1,0,1,0,10
Regular Season,Taj Gibson,Chi,Mia,R,29.2,4,8,0,0,2,3,4,4,8,3,1,0,0,0,10
Regular Season,Kirk Hinrich,Chi,Mia,R,29.3,2,6,2,4,0,0,0,1,1,3,6,0,2,0,6
Regular Season,Nazr Mohammed,Chi,Mia,R,5.2,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0
Regular Season,Tony Snell,Chi,Mia,R,6.4,0,3,0,2,0,0,0,0,0,0,2,1,1,0,0
Regular Season,LeBron James,Mia,Chi,H,38,5,11,0,1,7,9,0,6,6,8,0,1,2,0,17
Regular Season,Udonis Haslem,Mia,Chi,H,21.3,2,4,0,0,2,2,1,2,3,0,3,0,3,0,6
Regular Season,Chris Bosh,Mia,Chi,H,31.2,6,11,1,2,3,4,1,5,6,0,3,0,1,3,16
Regular Season,Dwyane Wade,Mia,Chi,H,36.1,5,13,1,1,2,5,0,4,4,3,4,1,3,1,13
Regular Season,Mario Chalmers,Mia,Chi,H,26.5,3,8,1,3,6,7,2,1,3,4,2,5,3,0,13
Regular Season,Ray Allen,Mia,Chi,H,26.2,3,7,3,6,2,2,0,1,1,7,4,0,3,1,11
Regular Season,Shane Battier,Mia,Chi,H,22.1,5,6,4,4,0,0,0,2,2,1,3,0,0,0,14
Regular Season,Norris Cole,Mia,Chi,H,21.1,5,7,1,3,0,0,0,7,7,3,0,1,3,0,11
Regular Season,Chris Andersen,Mia,Chi,H,16.3,3,5,0,0,0,0,1,7,8,0,2,2,0,2,6
Regular Season,Jared Dudley,Lac,Lal,R,22.4,2,6,1,4,0,0,0,3,3,2,4,0,1,0,5
Regular Season,Blake Griffin,Lac,Lal,R,40.1,8,15,0,0,3,10,2,5,7,3,1,1,4,0,19
Regular Season,DeAndre Jordan,Lac,Lal,R,35.3,8,10,0,0,1,2,4,7,11,1,5,3,1,3,17
Regular Season,J.J. Redick,Lac,Lal,R,33.5,5,12,2,5,1,1,1,1,2,3,0,0,1,0,13
Regular Season,Chris Paul,Lac,Lal,R,35.6,5,13,0,2,5,5,0,6,6,11,4,5,1,0,15
Regular Season,Matt Barnes,Lac,Lal,R,28.3,3,6,1,3,1,1,2,4,6,3,4,2,3,0,8
Regular Season,Jamal Crawford,Lac,Lal,R,25.5,5,13,3,6,2,2,1,2,3,3,0,0,3,0,15
Regular Season,Darren Collison,Lac,Lal,R,12.3,4,5,1,1,0,0,0,1,1,1,2,0,2,0,9
Regular Season,Ryan Hollins,Lac,Lal,R,3.6,0,2,0,0,0,2,0,1,1,0,1,0,0,1,0
Regular Season,Reggie Bullock,Lac,Lal,R,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Regular Season,Nick Young,Lal,Lac,H,22,3,10,1,4,6,8,0,1,1,0,1,1,2,0,13
Regular Season,Shawne Williams,Lal,Lac,H,12.5,1,5,0,3,1,2,1,2,3,0,3,1,1,2,3
Regular Season,Pau Gasol,Lal,Lac,H,24.3,5,12,1,2,4,4,1,12,13,4,0,0,5,0,15
Regular Season,Steve Blake,Lal,Lac,H,22.3,2,3,2,2,0,0,1,1,2,1,1,1,0,0,6
Regular Season,Steve Nash,Lal,Lac,H,20.4,1,3,1,1,0,0,0,1,1,5,3,0,3,0,3
Regular Season,Chris Kaman,Lal,Lac,H,19.4,5,10,0,0,0,0,4,4,8,0,1,1,1,2,10
