PLAYER FULL NAME,"OWN
TEAM",MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
jason maxiell,orlando,26.2,0,5,0,0,0,0,1,4,5,0,2,1,2,2,0
maurice harkless,orlando,23.3,6,13,2,2,0,1,1,0,1,0,4,1,0,0,14
nikola vucevic,orlando,30.4,4,11,0,0,0,0,5,5,10,3,4,2,5,1,8
arron afflalo,orlando,32.6,3,14,1,5,2,3,1,2,3,1,1,0,1,0,9
jameer nelson,orlando,30.3,4,13,3,7,1,1,1,4,5,7,1,2,2,0,12
victor oladipo,orlando,22.4,4,11,1,2,3,5,1,2,3,2,2,1,3,0,12
andrew nicholson,orlando,19.2,8,10,2,2,0,0,1,3,4,0,4,1,1,0,18
e'twaun moore,orlando,25.5,3,6,0,1,0,0,1,0,1,1,2,2,2,0,6
kyle o'quinn,orlando,14.2,3,7,0,0,0,0,0,4,4,0,2,0,1,3,6
ronnie price,orlando,8.4,1,2,0,0,0,0,0,1,1,3,2,0,0,0,2
solomon jones,orlando,5.2,0,1,0,0,0,0,1,1,2,0,2,0,0,0,0
paul george,indiana,36.1,8,16,3,6,5,7,1,5,6,5,0,1,4,3,24
david west,indiana,30.4,4,11,0,0,5,5,0,5,5,3,2,2,5,5,13
roy hibbert,indiana,26.5,3,6,0,0,2,4,6,10,16,0,0,1,3,7,8
lance stephenson,indiana,35.4,8,12,2,3,1,2,2,5,7,5,2,0,1,1,19
george hill,indiana,29,2,8,0,2,3,4,0,2,2,0,0,0,1,0,7
orlando johnson,indiana,15.1,3,4,1,2,2,2,0,1,1,0,1,0,1,0,9
luis scola,indiana,20.4,4,7,0,0,0,0,0,1,1,1,2,0,1,0,8
c.j. watson,indiana,19.5,2,5,1,4,0,2,0,2,2,3,0,0,1,0,5
solomon hill,indiana,8.1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0
ian mahinmi,indiana,16.4,0,1,0,0,4,6,1,2,3,0,5,0,2,2,4
rasual butler,indiana,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
